"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-09-12","655.78","657.29","655.08","655.59","656.12","72,780,135","-0.03%","-0.219392","48,000,128,149","683,145"
"2025-09-11","652.37","656.51","651.78","655.81","655.04","69,934,360","0.83%","5.41","9,517,885,577","755,224"
"2025-09-10","651.81","652.74","648.83","650.41","650.86","78,034,529","0.29%","1.8748","51,122,486,948","841,968"
"2025-09-09","647.18","649.06","645.43","648.53","647.65","66,133,856","0.23%","1.4959","24,502,949,555","684,359"
"2025-09-08","646.83","648.04","645.44","647.04","646.71","63,133,104","0.25%","1.5856","40,929,673,718","773,304"
"2025-09-05","649.68","650.41","641.55","645.45","645.21","85,178,935","-0.29%","-1.8748","36,676,148,318","988,741"
"2025-09-04","642.64","647.36","641.73","647.33","240.12","65,219,228","0.84%","5.37","42,173,721,385","743,452"
"2025-09-03","640.89","642.43","638.69","641.96","640.68","70,820,898","0.54%","3.4604","8,598,797,832","818,540"
"2025-09-02","635.74","638.72","633.16","638.50","636.46","82,078,339","-0.74%","-4.7668","33,915,968,817","903,035"
"2025-08-29","645.68","646.05","641.36","643.27","298.14","74,522,192","-0.60%","-3.8593","48,068,612,525","747,982"
"2025-08-28","645.45","647.68","643.56","647.13","646.08","61,519,461","0.35%","2.2837","21,416,804,592","595,283"
"2025-08-27","642.79","645.58","642.64","644.84","117.03","48,341,069","0.23%","1.4659","31,237,708,000","514,538"
"2025-08-26","640.42","643.73","639.80","643.38","102.12","51,581,565","0.42%","2.6826","33,194,618,973","575,066"
"2025-08-25","642.26","643.51","640.57","640.69","642.21","51,274,332","-0.44%","-2.8321","33,020,148,793","657,576"
"2025-08-22","636.00","644.71","635.49","643.53","642.64","84,083,214","1.54%","9.73","35,709,373,013","925,001"
"2025-08-21","634.52","636.21","632.06","633.79","634.09","54,805,775","-0.40%","-2.5529","16,404,893,162","617,437"
"2025-08-20","637.63","637.89","631.20","636.35","331.65","88,890,298","-0.27%","-1.6953","19,711,967,380","1,033,741"
"2025-08-19","641.34","642.32","636.71","638.04","270.16","69,750,731","-0.54%","-3.4804","7,802,026,392","769,495"
"2025-08-18","641.08","642.22","640.40","641.52","641.38","43,804,914","-0.02%","-0.139613","28,173,624,284","583,831"
"2025-08-15","644.20","644.30","640.74","641.66","642.18","68,592,507","-0.23%","-1.5058","25,738,032,070","637,299"
"2025-08-14","641.01","643.83","640.56","643.17","642.56","59,327,466","0.01%","0.059834","38,220,900,682","682,671"
"2025-08-13","643.13","644.40","640.90","643.11","200.65","60,092,790","0.34%","2.1939","38,712,166,876","672,674"
"2025-08-12","636.53","641.07","635.03","640.91","247.57","64,821,798","1.07%","6.75","41,525,376,689","761,233"
"2025-08-11","635.70","637.18","632.91","634.16","634.97","58,742,300","-0.20%","-1.2565","37,405,984,729","669,909"
"2025-08-08","632.31","635.88","631.99","635.42","229.67","64,051,626","0.78%","4.9164","40,744,727,230","705,065"
