Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2020-03-05,--,--,--,20.95,--,--,-3.04%,-0.657247,--,--,
2020-03-04,--,--,--,21.6,--,--,4.12%,0.85442,--,--,
2020-03-03,--,--,--,20.75,--,--,-3.20%,-0.685414,--,--,
2020-03-02,--,--,--,21.44,--,--,4.92%,1.0046,--,--,
2020-02-28,--,--,--,20.43,--,--,0.28%,0.056335,--,--,
2020-02-27,--,--,--,20.37,--,--,-4.95%,-1.061,--,--,
2020-02-26,--,--,--,21.44,--,--,0.44%,0.093893,--,--,
2020-02-25,--,--,--,21.34,--,--,-2.70%,-0.591522,--,--,
2020-02-24,--,--,--,21.93,--,--,-3.87%,-0.882588,--,--,
2020-02-21,--,--,--,22.82,--,--,-1.90%,-0.441293,--,--,
2020-02-20,--,--,--,23.26,--,--,-0.92%,-0.215954,--,--,
2020-02-19,--,--,--,23.47,--,--,0.93%,0.215954,--,--,
2020-02-18,--,--,--,23.26,--,--,0.08%,0.018777,--,--,
2020-02-14,--,--,--,23.24,--,--,0.28%,0.065725,--,--,
2020-02-13,--,--,--,23.17,--,--,-0.16%,-0.037557,--,--,
2020-02-12,--,--,--,23.21,--,--,0.98%,0.225342,--,--,
2020-02-11,--,--,--,22.98,--,--,0.00%,--,--,--,
2020-02-10,--,--,--,22.98,--,--,1.24%,0.281676,--,--,
2020-02-07,--,--,--,22.7,--,--,-0.45%,-0.103281,--,--,
2020-02-06,--,--,--,22.81,--,--,0.83%,0.187786,--,--,
2020-02-05,--,--,--,22.62,--,--,0.38%,0.084502,--,--,
2020-02-04,--,--,--,22.53,--,--,2.30%,0.507018,--,--,
2020-02-03,--,--,--,22.03,--,--,1.47%,0.319234,--,--,
2020-01-31,--,--,--,21.71,--,--,-1.58%,-0.347401,--,--,
2020-01-30,--,--,--,22.06,--,--,0.39%,0.084503,--,--,
2020-01-29,--,--,--,21.97,--,--,0.13%,0.028168,--,--,
2020-01-28,--,--,--,21.94,--,--,1.57%,0.338012,--,--,
2020-01-27,--,--,--,21.6,--,--,-2.09%,-0.460072,--,--,
2020-01-24,--,--,--,22.06,--,--,-0.80%,-0.178396,--,--,
2020-01-23,--,--,--,22.24,--,--,0.30%,0.065725,--,--,
2020-01-22,--,--,--,22.18,--,--,0.30%,0.065725,--,--,
2020-01-21,--,--,--,22.11,--,--,-0.09%,-0.018779,--,--,
2020-01-20,--,--,--,22.13,--,--,0.00%,--,--,--,
2020-01-17,--,--,--,22.13,--,--,0.51%,0.11267,--,--,
2020-01-16,--,--,--,22.02,--,--,0.99%,0.215954,--,--,
2020-01-15,--,--,--,21.8,--,--,0.04%,0.009388,--,--,
2020-01-14,--,--,--,21.79,--,--,-0.43%,-0.093892,--,--,
2020-01-13,--,--,--,21.89,--,--,1.17%,0.25351,--,--,
2020-01-10,--,--,--,21.63,--,--,-0.26%,-0.056335,--,--,
2020-01-09,--,--,--,21.69,--,--,0.87%,0.187783,--,--,
2020-01-08,--,--,--,21.5,--,--,0.75%,0.159618,--,--,
2020-01-07,--,--,--,21.34,--,--,-0.04%,-0.00939,--,--,
2020-01-06,--,--,--,21.35,--,--,0.62%,0.13145,--,--,
2020-01-03,--,--,--,21.22,--,--,-0.88%,-0.187785,--,--,
2020-01-02,--,--,--,21.41,--,--,1.60%,0.338012,--,--,
2019-12-31,--,--,--,21.07,--,--,0.22%,0.046946,--,--,
2019-12-30,--,--,--,21.02,--,--,-0.71%,-0.150227,--,--,
2019-12-27,--,--,--,21.17,--,--,0.81%,0.169006,--,--,
2019-12-24,--,--,--,21,--,--,0.00%,--,--,--,
2019-12-23,--,--,--,21,--,--,0.22%,0.046946,--,--,
2019-12-20,--,--,--,20.96,--,--,0.45%,0.093892,--,--,
2019-12-19,--,--,--,20.86,--,--,0.68%,0.140839,--,--,
2019-12-18,--,--,--,20.72,--,--,0.05%,0.009389,--,--,
2019-12-17,--,--,--,20.71,--,--,0.05%,0.00939,--,--,
2019-12-16,--,--,--,20.7,--,--,0.96%,0.197173,--,--,
2019-12-13,--,--,--,20.51,--,--,0.28%,0.056335,--,--,
2019-12-12,--,--,--,20.45,--,--,0.74%,0.150229,--,--,
2019-12-11,--,--,--,20.3,--,--,0.56%,0.11267,--,--,
2019-12-10,--,--,--,20.19,--,--,-0.09%,-0.018779,--,--,
2019-12-09,--,--,--,20.21,--,--,-0.42%,-0.084502,--,--,
2019-12-06,--,--,--,20.29,--,--,1.08%,0.215952,--,--,
2019-12-05,--,--,--,20.07,--,--,0.14%,0.028167,--,--,
2019-12-04,--,--,--,20.05,--,--,0.52%,0.103282,--,--,
2019-12-03,--,--,--,19.94,--,--,-0.66%,-0.131449,--,--,
2019-12-02,--,--,--,20.07,--,--,-1.11%,-0.225341,--,--,
2019-11-29,--,--,--,20.3,--,--,-0.51%,-0.103283,--,--,
2019-11-28,--,--,--,20.4,--,--,0.00%,--,--,--,
2019-11-27,--,--,--,20.4,--,--,0.70%,0.140839,--,--,
2019-11-26,--,--,--,20.26,--,--,0.19%,0.037557,--,--,
2019-11-25,--,--,--,20.22,--,--,1.17%,0.234731,--,--,
2019-11-22,--,--,--,19.99,--,--,0.09%,0.018779,--,--,
2019-11-21,--,--,--,19.97,--,--,-0.24%,-0.046946,--,--,
2019-11-20,--,--,--,20.02,--,--,-0.61%,-0.122061,--,--,
2019-11-19,--,--,--,20.14,--,--,0.14%,0.028168,--,--,
2019-11-18,--,--,--,20.11,--,--,0.14%,0.028168,--,--,
2019-11-15,--,--,--,20.08,--,--,0.71%,0.140838,--,--,
2019-11-14,--,--,--,19.94,--,--,-0.05%,-0.009389,--,--,
2019-11-13,--,--,--,19.95,--,--,-0.05%,-0.009389,--,--,
2019-11-12,--,--,--,19.96,--,--,0.28%,0.056336,--,--,
2019-11-11,--,--,--,19.91,--,--,-0.19%,-0.037558,--,--,
2019-11-08,--,--,--,19.94,--,--,0.47%,0.093893,--,--,
2019-11-07,--,--,--,19.85,--,--,0.33%,0.065724,--,--,
2019-11-06,--,--,--,19.78,--,--,-0.19%,-0.037557,--,--,
2019-11-05,--,--,--,19.82,--,--,0.00%,--,--,--,
2019-11-04,--,--,--,19.82,--,--,0.62%,0.12206,--,--,
