Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2025-06-25,--,--,--,50.4,--,--,0.20%,0.1,--,--,
2025-06-24,--,--,--,50.3,--,--,1.51%,0.75,--,--,
2025-06-23,--,--,--,49.55,--,--,1.06%,0.52,--,--,
2025-06-20,--,--,--,49.03,--,--,-0.43%,-0.21,--,--,
2025-06-19,--,--,--,49.24,--,--,-0.02%,-0.01,--,--,
2025-06-18,--,--,--,49.25,--,--,0.02%,0.01,--,--,
2025-06-17,--,--,--,49.24,--,--,-0.99%,-0.49,--,--,
2025-06-16,--,--,--,49.73,--,--,1.39%,0.68,--,--,
2025-06-13,--,--,--,49.05,--,--,-1.29%,-0.64,--,--,
2025-06-12,--,--,--,49.69,--,--,0.22%,0.11,--,--,
2025-06-11,--,--,--,49.58,--,--,-0.36%,-0.18,--,--,
2025-06-10,--,--,--,49.76,--,--,0.65%,0.32,--,--,
2025-06-09,--,--,--,49.44,--,--,0.14%,0.07,--,--,
2025-06-06,--,--,--,49.37,--,--,1.00%,0.49,--,--,
2025-06-05,--,--,--,48.88,--,--,-0.81%,-0.4,--,--,
2025-06-04,--,--,--,49.28,--,--,0.26%,0.13,--,--,
2025-06-03,--,--,--,49.15,--,--,0.82%,0.4,--,--,
2025-06-02,--,--,--,48.75,--,--,0.68%,0.33,--,--,
2025-05-30,--,--,--,48.42,--,--,-0.14%,-0.07,--,--,
2025-05-29,--,--,--,48.49,--,--,0.21%,0.1,--,--,
2025-05-28,--,--,--,48.39,--,--,-0.45%,-0.22,--,--,
2025-05-27,--,--,--,48.61,--,--,2.40%,1.14,--,--,
2025-05-26,--,--,--,47.47,--,--,0.00%,--,--,--,
2025-05-23,--,--,--,47.47,--,--,-1.00%,-0.48,--,--,
2025-05-22,--,--,--,47.95,--,--,0.15%,0.07,--,--,
2025-05-21,--,--,--,47.88,--,--,-1.38%,-0.67,--,--,
2025-05-20,--,--,--,48.55,--,--,-0.35%,-0.17,--,--,
2025-05-16,--,--,--,48.72,--,--,0.47%,0.23,--,--,
2025-05-15,--,--,--,48.49,--,--,0.06%,0.03,--,--,
2025-05-14,--,--,--,48.46,--,--,0.58%,0.28,--,--,
2025-05-13,--,--,--,48.18,--,--,1.56%,0.74,--,--,
2025-05-12,--,--,--,47.44,--,--,4.06%,1.85,--,--,
2025-05-09,--,--,--,45.59,--,--,-0.02%,-0.01,--,--,
2025-05-08,--,--,--,45.6,--,--,1.00%,0.45,--,--,
2025-05-07,--,--,--,45.15,--,--,0.38%,0.17,--,--,
2025-05-06,--,--,--,44.98,--,--,-0.88%,-0.4,--,--,
2025-05-05,--,--,--,45.38,--,--,-0.68%,-0.31,--,--,
2025-05-02,--,--,--,45.69,--,--,1.60%,0.72,--,--,
2025-05-01,--,--,--,44.97,--,--,1.08%,0.48,--,--,
2025-04-30,--,--,--,44.49,--,--,0.16%,0.07,--,--,
2025-04-29,--,--,--,44.42,--,--,0.57%,0.25,--,--,
2025-04-28,--,--,--,44.17,--,--,-0.05%,-0.02,--,--,
2025-04-25,--,--,--,44.19,--,--,1.08%,0.47,--,--,
2025-04-24,--,--,--,43.72,--,--,2.68%,1.14,--,--,
2025-04-23,--,--,--,42.58,--,--,2.21%,0.92,--,--,
2025-04-22,--,--,--,41.66,--,--,2.51%,1.02,--,--,
2025-04-21,--,--,--,40.64,--,--,-2.40%,-1,--,--,
2025-04-17,--,--,--,41.64,--,--,0.00%,--,--,--,
2025-04-16,--,--,--,41.64,--,--,-2.94%,-1.26,--,--,
2025-04-15,--,--,--,42.9,--,--,0.16%,0.07,--,--,
2025-04-14,--,--,--,42.83,--,--,0.54%,0.23,--,--,
2025-04-11,--,--,--,42.6,--,--,1.84%,0.77,--,--,
2025-04-10,--,--,--,41.83,--,--,-4.19%,-1.83,--,--,
2025-04-09,--,--,--,43.66,--,--,11.78%,4.6,--,--,
2025-04-08,--,--,--,39.06,--,--,-1.93%,-0.77,--,--,
2025-04-07,--,--,--,39.83,--,--,0.18%,0.07,--,--,
2025-04-04,--,--,--,39.76,--,--,-6.03%,-2.55,--,--,
2025-04-03,--,--,--,42.31,--,--,-5.35%,-2.39,--,--,
2025-04-02,--,--,--,44.7,--,--,0.77%,0.34,--,--,
2025-04-01,--,--,--,44.36,--,--,0.82%,0.36,--,--,
2025-03-31,--,--,--,44,--,--,-0.05%,-0.02,--,--,
2025-03-28,--,--,--,44.02,--,--,-2.61%,-1.18,--,--,
2025-03-27,--,--,--,45.2,--,--,-0.59%,-0.27,--,--,
2025-03-26,--,--,--,45.47,--,--,-1.81%,-0.84,--,--,
2025-03-25,--,--,--,46.31,--,--,0.52%,0.24,--,--,
2025-03-24,--,--,--,46.07,--,--,2.13%,0.96,--,--,
2025-03-21,--,--,--,45.11,--,--,0.38%,0.17,--,--,
2025-03-20,--,--,--,44.94,--,--,-0.29%,-0.13,--,--,
2025-03-19,--,--,--,45.07,--,--,1.28%,0.57,--,--,
2025-03-18,--,--,--,44.5,--,--,-1.66%,-0.75,--,--,
2025-03-17,--,--,--,45.25,--,--,0.51%,0.23,--,--,
2025-03-14,--,--,--,45.02,--,--,2.51%,1.1,--,--,
2025-03-13,--,--,--,43.92,--,--,-1.90%,-0.85,--,--,
2025-03-12,--,--,--,44.77,--,--,1.11%,0.49,--,--,
2025-03-11,--,--,--,44.28,--,--,-0.27%,-0.12,--,--,
2025-03-10,--,--,--,44.4,--,--,-3.83%,-1.77,--,--,
2025-03-07,--,--,--,46.17,--,--,0.74%,0.34,--,--,
2025-03-06,--,--,--,45.83,--,--,-2.78%,-1.31,--,--,
2025-03-05,--,--,--,47.14,--,--,1.33%,0.62,--,--,
2025-03-04,--,--,--,46.52,--,--,-0.34%,-0.16,--,--,
2025-03-03,--,--,--,46.68,--,--,-2.22%,-1.06,--,--,
2025-02-28,--,--,--,47.74,--,--,1.64%,0.77,--,--,
2025-02-27,--,--,--,46.97,--,--,-2.75%,-1.33,--,--,
2025-02-26,--,--,--,48.3,--,--,0.21%,0.1,--,--,
2025-02-25,--,--,--,48.2,--,--,-1.23%,-0.6,--,--,
2025-02-24,--,--,--,48.8,--,--,-1.20%,-0.59,--,--,
2025-02-21,--,--,--,49.39,--,--,-2.02%,-1.02,--,--,
2025-02-20,--,--,--,50.41,--,--,-0.47%,-0.24,--,--,
2025-02-19,--,--,--,50.65,--,--,0.06%,0.03,--,--,
2025-02-18,--,--,--,50.62,--,--,0.20%,0.1,--,--,
2025-02-14,--,--,--,50.52,--,--,0.38%,0.19,--,--,
2025-02-13,--,--,--,50.33,--,--,1.39%,0.69,--,--,
2025-02-12,--,--,--,49.64,--,--,0.12%,0.06,--,--,
2025-02-11,--,--,--,49.58,--,--,-0.30%,-0.15,--,--,
2025-02-10,--,--,--,49.73,--,--,1.22%,0.6,--,--,
2025-02-07,--,--,--,49.13,--,--,-1.29%,-0.64,--,--,
2025-02-06,--,--,--,49.77,--,--,0.53%,0.26,--,--,
2025-02-05,--,--,--,49.51,--,--,0.41%,0.2,--,--,
2025-02-04,--,--,--,49.31,--,--,1.27%,0.62,--,--,
2025-02-03,--,--,--,48.69,--,--,-0.88%,-0.43,--,--,
2025-01-31,--,--,--,49.12,--,--,-0.14%,-0.07,--,--,
2025-01-30,--,--,--,49.19,--,--,0.47%,0.23,--,--,
2025-01-29,--,--,--,48.96,--,--,-0.24%,-0.12,--,--,
2025-01-28,--,--,--,49.08,--,--,1.57%,0.76,--,--,
2025-01-27,--,--,--,48.32,--,--,-2.97%,-1.48,--,--,
2025-01-24,--,--,--,49.8,--,--,-0.60%,-0.3,--,--,
2025-01-23,--,--,--,50.1,--,--,0.22%,0.11,--,--,
2025-01-22,--,--,--,49.99,--,--,1.32%,0.65,--,--,
2025-01-21,--,--,--,49.34,--,--,0.59%,0.29,--,--,
2025-01-20,--,--,--,49.05,--,--,-0.04%,-0.02,--,--,
2025-01-17,--,--,--,49.07,--,--,1.68%,0.81,--,--,
2025-01-16,--,--,--,48.26,--,--,-0.70%,-0.34,--,--,
2025-01-15,--,--,--,48.6,--,--,2.29%,1.09,--,--,
2025-01-14,--,--,--,47.51,--,--,-0.13%,-0.06,--,--,
2025-01-13,--,--,--,47.57,--,--,-0.31%,-0.15,--,--,
2025-01-10,--,--,--,47.72,--,--,-1.59%,-0.77,--,--,
2025-01-09,--,--,--,48.49,--,--,0.00%,--,--,--,
2025-01-08,--,--,--,48.49,--,--,0.04%,0.02,--,--,
2025-01-07,--,--,--,48.47,--,--,-1.78%,-0.88,--,--,
2025-01-06,--,--,--,49.35,--,--,1.07%,0.52,--,--,
2025-01-03,--,--,--,48.83,--,--,1.69%,0.81,--,--,
2025-01-02,--,--,--,48.02,--,--,-0.19%,-0.09,--,--,
2024-12-31,--,--,--,48.11,--,--,-0.87%,-0.42,--,--,
2024-12-30,--,--,--,48.53,--,--,-1.30%,-0.64,--,--,
2024-12-27,--,--,--,49.17,--,--,-1.50%,-0.75,--,--,
2024-12-24,--,--,--,49.92,--,--,1.36%,0.67,--,--,
2024-12-23,--,--,--,49.25,--,--,1.01%,0.491474,--,--,
2024-12-20,--,--,--,48.76,--,--,0.82%,0.397948,--,--,
2024-12-19,--,--,--,48.36,--,--,-0.47%,-0.22882,--,--,
2024-12-18,--,--,--,48.59,--,--,-3.59%,-1.8107,--,--,
2024-12-17,--,--,--,50.4,--,--,-0.41%,-0.208922,--,--,
2024-12-16,--,--,--,50.61,--,--,1.44%,0.716305,--,--,
2024-12-13,--,--,--,49.89,--,--,0.78%,0.387999,--,--,
2024-12-12,--,--,--,49.5,--,--,-0.68%,-0.338255,--,--,
2024-12-11,--,--,--,49.84,--,--,1.83%,0.895382,--,--,
2024-12-10,--,--,--,48.95,--,--,-0.32%,-0.159179,--,--,
2024-12-09,--,--,--,49.11,--,--,-0.86%,-0.427794,--,--,
2024-12-06,--,--,--,49.53,--,--,0.97%,0.477537,--,--,
2024-12-05,--,--,--,49.06,--,--,-0.32%,-0.159179,--,--,
2024-12-04,--,--,--,49.22,--,--,1.23%,0.596922,--,--,
2024-12-03,--,--,--,48.62,--,--,0.33%,0.159179,--,--,
2024-12-02,--,--,--,48.46,--,--,1.10%,0.52728,--,--,
2024-11-29,--,--,--,47.93,--,--,0.90%,0.427794,--,--,
2024-11-28,--,--,--,47.51,--,--,-0.02%,-0.009949,--,--,
2024-11-27,--,--,--,47.51,--,--,-0.87%,-0.417845,--,--,
2024-11-26,--,--,--,47.93,--,--,0.61%,0.288512,--,--,
2024-11-25,--,--,--,47.64,--,--,0.13%,0.059692,--,--,
2024-11-22,--,--,--,47.58,--,--,0.17%,0.07959,--,--,
2024-11-21,--,--,--,47.51,--,--,0.36%,0.169128,--,--,
2024-11-20,--,--,--,47.34,--,--,-0.08%,-0.039795,--,--,
2024-11-19,--,--,--,47.38,--,--,0.70%,0.328307,--,--,
2024-11-18,--,--,--,47.05,--,--,0.68%,0.318358,--,--,
2024-11-15,--,--,--,46.73,--,--,-2.39%,-1.1441,--,--,
2024-11-14,--,--,--,47.87,--,--,-0.66%,-0.318358,--,--,
2024-11-13,--,--,--,48.19,--,--,-0.12%,-0.059692,--,--,
2024-11-12,--,--,--,48.25,--,--,-0.19%,-0.089538,--,--,
2024-11-11,--,--,--,48.34,--,--,-0.04%,-0.019897,--,--,
2024-11-08,--,--,--,48.36,--,--,0.10%,0.049743,--,--,
2024-11-07,--,--,--,48.31,--,--,1.51%,0.716306,--,--,
2024-11-06,--,--,--,47.59,--,--,2.75%,1.2734,--,--,
2024-11-05,--,--,--,46.32,--,--,1.28%,0.586973,--,--,
2024-11-04,--,--,--,45.73,--,--,-0.35%,-0.159179,--,--,
2024-11-01,--,--,--,45.89,--,--,0.72%,0.328306,--,--,
2024-10-31,--,--,--,45.57,--,--,-2.43%,-1.1341,--,--,
2024-10-30,--,--,--,46.7,--,--,-0.80%,-0.378051,--,--,
2024-10-29,--,--,--,47.08,--,--,0.98%,0.45764,--,--,
2024-10-28,--,--,--,46.62,--,--,-0.02%,-0.009949,--,--,
2024-10-25,--,--,--,46.63,--,--,0.58%,0.268615,--,--,
2024-10-24,--,--,--,46.36,--,--,0.82%,0.37805,--,--,
2024-10-23,--,--,--,45.98,--,--,-1.56%,-0.726254,--,--,
2024-10-22,--,--,--,46.71,--,--,0.11%,0.049743,--,--,
2024-10-21,--,--,--,46.66,--,--,0.17%,0.07959,--,--,
2024-10-18,--,--,--,46.58,--,--,0.67%,0.308409,--,--,
2024-10-17,--,--,--,46.27,--,--,0.09%,0.039795,--,--,
2024-10-16,--,--,--,46.23,--,--,0.07%,0.029846,--,--,
2024-10-15,--,--,--,46.2,--,--,-0.56%,-0.258666,--,--,
2024-10-11,--,--,--,46.46,--,--,0.15%,0.069641,--,--,
2024-10-10,--,--,--,46.39,--,--,-0.15%,-0.069641,--,--,
2024-10-09,--,--,--,46.46,--,--,0.82%,0.37805,--,--,
2024-10-08,--,--,--,46.08,--,--,1.56%,0.706357,--,--,
2024-10-07,--,--,--,45.38,--,--,-1.19%,-0.547178,--,--,
2024-10-04,--,--,--,45.92,--,--,1.23%,0.557127,--,--,
2024-10-03,--,--,--,45.37,--,--,-0.07%,-0.029846,--,--,
2024-10-02,--,--,--,45.4,--,--,0.18%,0.079589,--,--,
2024-10-01,--,--,--,45.32,--,--,-1.43%,-0.656613,--,--,
2024-09-30,--,--,--,45.97,--,--,0.24%,0.109436,--,--,
2024-09-27,--,--,--,45.86,--,--,-0.52%,-0.238769,--,--,
2024-09-26,--,--,--,46.1,--,--,0.72%,0.328307,--,--,
2024-09-25,--,--,--,45.77,--,--,0.13%,0.059692,--,--,
2024-09-24,--,--,--,45.71,--,--,0.46%,0.208922,--,--,
2024-09-23,--,--,--,45.51,--,--,0.29%,0.129333,--,--,
2024-09-20,--,--,--,45.38,--,--,-0.24%,-0.109435,--,--,
2024-09-19,--,--,--,45.49,--,--,2.56%,1.1341,--,--,
2024-09-18,--,--,--,44.35,--,--,-0.45%,-0.198973,--,--,
2024-09-17,--,--,--,44.55,--,--,0.05%,0.019897,--,--,
2024-09-16,--,--,--,44.53,--,--,-0.49%,-0.218871,--,--,
2024-09-13,--,--,--,44.75,--,--,0.47%,0.208922,--,--,
2024-09-12,--,--,--,44.54,--,--,0.97%,0.427794,--,--,
2024-09-11,--,--,--,44.11,--,--,2.17%,0.935177,--,--,
2024-09-10,--,--,--,43.18,--,--,0.88%,0.37805,--,--,
2024-09-09,--,--,--,42.8,--,--,1.30%,0.547178,--,--,
2024-09-06,--,--,--,42.25,--,--,-2.68%,-1.164,--,--,
2024-09-05,--,--,--,43.42,--,--,0.05%,0.019898,--,--,
2024-09-04,--,--,--,43.4,--,--,-0.18%,-0.07959,--,--,
2024-09-03,--,--,--,43.48,--,--,-3.17%,-1.4227,--,--,
2024-08-30,--,--,--,44.9,--,--,1.26%,0.557127,--,--,
2024-08-29,--,--,--,44.34,--,--,-0.13%,-0.059692,--,--,
2024-08-28,--,--,--,44.4,--,--,-1.15%,-0.517332,--,--,
2024-08-27,--,--,--,44.92,--,--,0.31%,0.139282,--,--,
2024-08-26,--,--,--,44.78,--,--,-1.03%,-0.467589,--,--,
2024-08-23,--,--,--,45.25,--,--,1.16%,0.517332,--,--,
2024-08-22,--,--,--,44.73,--,--,-1.66%,-0.7561,--,--,
2024-08-21,--,--,--,45.49,--,--,0.51%,0.22882,--,--,
2024-08-20,--,--,--,45.26,--,--,-0.22%,-0.099487,--,--,
2024-08-19,--,--,--,45.36,--,--,1.29%,0.577024,--,--,
2024-08-16,--,--,--,44.78,--,--,0.09%,0.039794,--,--,
2024-08-15,--,--,--,44.74,--,--,2.46%,1.0745,--,--,
2024-08-14,--,--,--,43.66,--,--,0.07%,0.029846,--,--,
2024-08-13,--,--,--,43.64,--,--,2.50%,1.0645,--,--,
2024-08-12,--,--,--,42.57,--,--,0.14%,0.059692,--,--,
2024-08-09,--,--,--,42.51,--,--,0.54%,0.22882,--,--,
2024-08-08,--,--,--,42.28,--,--,3.03%,1.2436,--,--,
2024-08-07,--,--,--,41.04,--,--,-1.15%,-0.477537,--,--,
2024-08-06,--,--,--,41.52,--,--,-1.97%,-0.83569,--,--,
2024-08-02,--,--,--,42.35,--,--,-2.39%,-1.0347,--,--,
2024-08-01,--,--,--,43.39,--,--,-2.44%,-1.0844,--,--,
2024-07-31,--,--,--,44.47,--,--,3.02%,1.3033,--,--,
2024-07-30,--,--,--,43.17,--,--,-1.39%,-0.60687,--,--,
2024-07-29,--,--,--,43.77,--,--,0.18%,0.07959,--,--,
2024-07-26,--,--,--,43.69,--,--,1.01%,0.437742,--,--,
2024-07-25,--,--,--,43.26,--,--,-1.07%,-0.467588,--,--,
2024-07-24,--,--,--,43.72,--,--,-3.66%,-1.6614,--,--,
2024-07-23,--,--,--,45.39,--,--,-0.35%,-0.159179,--,--,
2024-07-22,--,--,--,45.55,--,--,1.53%,0.686459,--,--,
2024-07-19,--,--,--,44.86,--,--,-0.95%,-0.427793,--,--,
2024-07-18,--,--,--,45.29,--,--,-0.48%,-0.218872,--,--,
2024-07-17,--,--,--,45.51,--,--,-2.93%,-1.3729,--,--,
2024-07-16,--,--,--,46.88,--,--,0.06%,0.029846,--,--,
2024-07-15,--,--,--,46.85,--,--,0.26%,0.119385,--,--,
2024-07-12,--,--,--,46.73,--,--,0.60%,0.278563,--,--,
2024-07-11,--,--,--,46.45,--,--,-2.24%,-1.0645,--,--,
2024-07-10,--,--,--,47.51,--,--,1.08%,0.507383,--,--,
2024-07-09,--,--,--,47.01,--,--,0.06%,0.029846,--,--,
2024-07-08,--,--,--,46.98,--,--,0.23%,0.109436,--,--,
2024-07-05,--,--,--,46.87,--,--,1.01%,0.467588,--,--,
2024-07-04,--,--,--,46.4,--,--,0.00%,--,--,--,
2024-07-03,--,--,--,46.4,--,--,0.87%,0.397948,--,--,
2024-07-02,--,--,--,46,--,--,1.65%,0.746152,--,--,
2024-06-28,--,--,--,45.26,--,--,-0.53%,-0.238769,--,--,
2024-06-27,--,--,--,45.5,--,--,0.18%,0.07959,--,--,
2024-06-26,--,--,--,45.42,--,--,0.29%,0.129333,--,--,
2024-06-25,--,--,--,45.29,--,--,1.16%,0.517331,--,--,
2024-06-24,--,--,--,44.77,--,--,-1.16%,-0.52728,--,--,
2024-06-21,--,--,--,45.3,--,--,-0.26%,-0.119384,--,--,
2024-06-20,--,--,--,45.42,--,--,-0.80%,-0.368102,--,--,
2024-06-19,--,--,--,45.78,--,--,0.00%,--,--,--,
2024-06-18,--,--,--,45.78,--,--,0.02%,0.009949,--,--,
2024-06-17,--,--,--,45.77,--,--,1.23%,0.557126,--,--,
2024-06-14,--,--,--,45.22,--,--,0.42%,0.189025,--,--,
2024-06-13,--,--,--,45.03,--,--,0.58%,0.258666,--,--,
2024-06-12,--,--,--,44.77,--,--,1.31%,0.577024,--,--,
2024-06-11,--,--,--,44.19,--,--,0.73%,0.318358,--,--,
2024-06-10,--,--,--,43.87,--,--,0.39%,0.169128,--,--,
2024-06-07,--,--,--,43.7,--,--,-0.09%,-0.039795,--,--,
2024-06-06,--,--,--,43.74,--,--,-0.09%,-0.039794,--,--,
2024-06-05,--,--,--,43.78,--,--,2.06%,0.885433,--,--,
2024-06-04,--,--,--,42.9,--,--,0.30%,0.129333,--,--,
2024-06-03,--,--,--,42.77,--,--,0.33%,0.139282,--,--,
2024-05-31,--,--,--,42.63,--,--,-0.02%,-0.009949,--,--,
2024-05-30,--,--,--,42.64,--,--,-1.06%,-0.45764,--,--,
2024-05-29,--,--,--,43.1,--,--,-0.67%,-0.288512,--,--,
2024-05-28,--,--,--,43.39,--,--,0.32%,0.139282,--,--,
2024-05-27,--,--,--,43.25,--,--,-0.02%,-0.009949,--,--,
2024-05-24,--,--,--,43.26,--,--,0.95%,0.407896,--,--,
2024-05-23,--,--,--,42.85,--,--,-0.42%,-0.179076,--,--,
2024-05-22,--,--,--,43.03,--,--,-0.02%,-0.009949,--,--,
2024-05-21,--,--,--,43.04,--,--,0.91%,0.387999,--,--,
2024-05-17,--,--,--,42.65,--,--,-0.07%,-0.029846,--,--,
2024-05-16,--,--,--,42.68,--,--,-0.19%,-0.079589,--,--,
2024-05-15,--,--,--,42.76,--,--,1.46%,0.616818,--,--,
2024-05-14,--,--,--,42.14,--,--,0.67%,0.278564,--,--,
2024-05-13,--,--,--,41.86,--,--,0.21%,0.089538,--,--,
2024-05-10,--,--,--,41.77,--,--,0.26%,0.109435,--,--,
2024-05-09,--,--,--,41.67,--,--,0.14%,0.059693,--,--,
2024-05-08,--,--,--,41.61,--,--,-0.05%,-0.019898,--,--,
2024-05-07,--,--,--,41.63,--,--,0.02%,0.009949,--,--,
2024-05-06,--,--,--,41.62,--,--,1.11%,0.45764,--,--,
2024-05-03,--,--,--,41.16,--,--,1.97%,0.795895,--,--,
2024-05-02,--,--,--,40.36,--,--,1.30%,0.517332,--,--,
2024-05-01,--,--,--,39.84,--,--,-0.72%,-0.288512,--,--,
2024-04-30,--,--,--,40.13,--,--,-1.92%,-0.785947,--,--,
2024-04-29,--,--,--,40.92,--,--,0.34%,0.139282,--,--,
2024-04-26,--,--,--,40.78,--,--,1.64%,0.656613,--,--,
2024-04-25,--,--,--,40.12,--,--,-0.54%,-0.218871,--,--,
2024-04-24,--,--,--,40.34,--,--,0.32%,0.129333,--,--,
2024-04-23,--,--,--,40.21,--,--,1.51%,0.596921,--,--,
2024-04-22,--,--,--,39.62,--,--,0.99%,0.387999,--,--,
2024-04-19,--,--,--,39.23,--,--,-2.04%,-0.815792,--,--,
2024-04-18,--,--,--,40.04,--,--,-0.57%,-0.22882,--,--,
2024-04-17,--,--,--,40.27,--,--,-1.24%,-0.507383,--,--,
2024-04-16,--,--,--,40.78,--,--,0.02%,0.009948,--,--,
2024-04-15,--,--,--,40.77,--,--,-1.66%,-0.686459,--,--,
2024-04-12,--,--,--,41.46,--,--,-1.68%,-0.706357,--,--,
2024-04-11,--,--,--,42.16,--,--,1.66%,0.68646,--,--,
2024-04-10,--,--,--,41.48,--,--,-0.88%,-0.368102,--,--,
2024-04-09,--,--,--,41.84,--,--,0.38%,0.159179,--,--,
2024-04-08,--,--,--,41.69,--,--,-0.05%,-0.019897,--,--,
2024-04-05,--,--,--,41.7,--,--,1.28%,0.52728,--,--,
2024-04-04,--,--,--,41.18,--,--,-1.57%,-0.656613,--,--,
2024-04-03,--,--,--,41.83,--,--,0.24%,0.099487,--,--,
2024-04-02,--,--,--,41.73,--,--,-0.95%,-0.397948,--,--,
2024-04-01,--,--,--,42.13,--,--,0.21%,0.089538,--,--,
2024-03-28,--,--,--,42.04,--,--,-0.14%,-0.059692,--,--,
2024-03-27,--,--,--,42.1,--,--,0.38%,0.159179,--,--,
2024-03-26,--,--,--,41.94,--,--,-0.38%,-0.159179,--,--,
2024-03-25,--,--,--,42.1,--,--,-0.35%,-0.14923,--,--,
2024-03-22,--,--,--,42.25,--,--,0.12%,0.049743,--,--,
2024-03-21,--,--,--,42.2,--,--,0.45%,0.189025,--,--,
2024-03-20,--,--,--,42.01,--,--,1.15%,0.477537,--,--,
2024-03-19,--,--,--,41.54,--,--,0.26%,0.109436,--,--,
2024-03-18,--,--,--,41.43,--,--,0.97%,0.397948,--,--,
2024-03-15,--,--,--,41.03,--,--,-1.13%,-0.467589,--,--,
2024-03-14,--,--,--,41.5,--,--,-0.29%,-0.119384,--,--,
2024-03-13,--,--,--,41.62,--,--,-0.83%,-0.348204,--,--,
2024-03-12,--,--,--,41.96,--,--,1.47%,0.60687,--,--,
2024-03-11,--,--,--,41.36,--,--,-0.36%,-0.149231,--,--,
2024-03-08,--,--,--,41.51,--,--,-1.51%,-0.636716,--,--,
2024-03-07,--,--,--,42.14,--,--,1.53%,0.636716,--,--,
2024-03-06,--,--,--,41.51,--,--,0.68%,0.278564,--,--,
2024-03-05,--,--,--,41.23,--,--,-1.82%,-0.766049,--,--,
2024-03-04,--,--,--,41.99,--,--,-0.40%,-0.169128,--,--,
2024-03-01,--,--,--,42.16,--,--,1.44%,0.596921,--,--,
2024-02-29,--,--,--,41.57,--,--,0.97%,0.397948,--,--,
2024-02-28,--,--,--,41.17,--,--,-0.53%,-0.218871,--,--,
2024-02-27,--,--,--,41.39,--,--,0.22%,0.089538,--,--,
2024-02-26,--,--,--,41.3,--,--,-0.02%,-0.009949,--,--,
2024-02-23,--,--,--,41.31,--,--,-0.36%,-0.14923,--,--,
2024-02-22,--,--,--,41.46,--,--,2.99%,1.2038,--,--,
2024-02-21,--,--,--,40.25,--,--,-0.37%,-0.14923,--,--,
2024-02-20,--,--,--,40.4,--,--,-0.81%,-0.328307,--,--,
2024-02-16,--,--,--,40.73,--,--,-0.90%,-0.368101,--,--,
2024-02-15,--,--,--,41.1,--,--,0.22%,0.089538,--,--,
2024-02-14,--,--,--,41.01,--,--,1.18%,0.477537,--,--,
2024-02-13,--,--,--,40.53,--,--,-1.55%,-0.636716,--,--,
2024-02-12,--,--,--,41.17,--,--,-0.46%,-0.189025,--,--,
2024-02-09,--,--,--,41.36,--,--,1.02%,0.417845,--,--,
2024-02-08,--,--,--,40.94,--,--,0.17%,0.069641,--,--,
2024-02-07,--,--,--,40.87,--,--,1.01%,0.407896,--,--,
2024-02-06,--,--,--,40.46,--,--,-0.25%,-0.099487,--,--,
2024-02-05,--,--,--,40.56,--,--,-0.15%,-0.059692,--,--,
2024-02-02,--,--,--,40.62,--,--,1.74%,0.696408,--,--,
2024-02-01,--,--,--,39.92,--,--,1.21%,0.477537,--,--,
2024-01-31,--,--,--,39.45,--,--,-1.95%,-0.785946,--,--,
2024-01-30,--,--,--,40.23,--,--,-0.69%,-0.278564,--,--,
2024-01-29,--,--,--,40.51,--,--,0.99%,0.397948,--,--,
2024-01-26,--,--,--,40.11,--,--,-0.57%,-0.22882,--,--,
2024-01-25,--,--,--,40.34,--,--,0.10%,0.039795,--,--,
2024-01-24,--,--,--,40.3,--,--,0.55%,0.218871,--,--,
2024-01-23,--,--,--,40.08,--,--,0.42%,0.169128,--,--,
2024-01-22,--,--,--,39.91,--,--,0.10%,0.039794,--,--,
2024-01-19,--,--,--,39.87,--,--,1.93%,0.756101,--,--,
2024-01-18,--,--,--,39.12,--,--,1.47%,0.567075,--,--,
2024-01-17,--,--,--,38.55,--,--,-0.59%,-0.22882,--,--,
2024-01-16,--,--,--,38.78,--,--,0.00%,--,--,--,
2024-01-15,--,--,--,38.78,--,--,0.00%,--,--,--,
2024-01-12,--,--,--,38.78,--,--,0.05%,0.019898,--,--,
2024-01-11,--,--,--,38.76,--,--,0.18%,0.069641,--,--,
2024-01-10,--,--,--,38.69,--,--,0.67%,0.258665,--,--,
2024-01-09,--,--,--,38.43,--,--,0.18%,0.069641,--,--,
2024-01-08,--,--,--,38.36,--,--,2.09%,0.785947,--,--,
2024-01-05,--,--,--,37.58,--,--,0.16%,0.059692,--,--,
2024-01-04,--,--,--,37.52,--,--,-0.53%,-0.198974,--,--,
2024-01-03,--,--,--,37.72,--,--,-1.07%,-0.407896,--,--,
2024-01-02,--,--,--,38.12,--,--,-1.69%,-0.656614,--,--,
2023-12-29,--,--,--,38.78,--,--,-0.43%,-0.169127,--,--,
2023-12-28,--,--,--,38.95,--,--,-0.05%,-0.019898,--,--,
2023-12-27,--,--,--,38.97,--,--,0.77%,0.298977,--,--,
2023-12-22,--,--,--,38.67,--,--,0.10%,0.037838,--,--,
2023-12-21,--,--,--,38.63,--,--,1.16%,0.444592,--,--,
2023-12-20,--,--,--,38.19,--,--,-1.49%,-0.577024,--,--,
2023-12-19,--,--,--,38.76,--,--,0.47%,0.179729,--,--,
2023-12-18,--,--,--,38.58,--,--,0.64%,0.245945,--,--,
